# fs_hz,100.0
# duration_s,4500
# gyro_offset_counts_x,1093
# gyro_offset_counts_y,-320
# gyro_offset_counts_z,-19

t_s,accel_x,accel_y,accel_z,gyro_x_raw,gyro_y_raw,gyro_z_raw,gyro_x_corr,gyro_y_corr,gyro_z_corr
1.690092,3006,12846,9722,-332,68,105,-1425,388,124
1.700091,3010,12857,9716,-305,80,83,-1398,400,102
1.710091,2992,12871,9680,-293,95,71,-1386,415,90
1.720084,2990,12881,9667,-282,114,61,-1375,434,80
1.730086,2955,12942,9665,-269,146,51,-1362,466,70
1.740107,2939,12949,9665,-266,158,48,-1359,478,67
1.750080,2891,12945,9707,-263,170,50,-1356,490,69
1.760086,2862,12935,9734,-262,172,50,-1355,492,69
1.770086,2854,12918,9782,-256,165,46,-1349,485,65
1.780086,2849,12828,9856,-251,166,42,-1344,486,61
1.790086,2847,12783,9903,-242,167,33,-1335,487,52
1.800086,2827,12709,10011,-217,153,10,-1310,473,29
1.810087,2826,12692,10038,-202,138,0,-1295,458,19
1.820088,2812,12710,10033,-171,122,-22,-1264,442,-3
1.830092,2787,12728,10011,-158,116,-24,-1251,436,-5
1.840088,2773,12748,10001,-137,99,-5,-1230,419,14
1.850092,2751,12767,9990,-129,89,5,-1222,409,24
1.860091,2742,12745,9990,-121,79,16,-1214,399,35
1.870090,2734,12733,10016,-105,61,28,-1198,381,47
1.880090,2717,12758,10008,-98,51,33,-1191,371,52
1.890091,2690,12748,10014,-86,39,34,-1179,359,53
1.900090,2689,12734,10017,-80,35,31,-1173,355,50
1.910090,2691,12739,10003,-69,23,21,-1162,343,40
1.920090,2714,12781,10030,-64,11,21,-1157,331,40
1.930088,2742,12782,10012,-59,3,23,-1152,323,42
1.940091,2750,12787,9954,-48,-4,30,-1141,316,49
1.950089,2767,12819,9930,-44,-5,34,-1137,315,53
1.960091,2773,12828,9911,-44,-10,47,-1137,310,66
1.970090,2755,12792,9923,-45,-13,52,-1138,307,71
1.980090,2775,12766,9925,-46,-15,53,-1139,305,72
1.990090,2808,12799,9935,-41,-13,48,-1134,307,67
2.000090,2778,12850,9914,-40,-17,51,-1133,303,70
2.010090,2796,12894,9844,-51,-37,86,-1144,283,105
2.020088,2846,12876,9824,-58,-37,99,-1151,283,118
2.030091,2894,12859,9839,-69,-4,113,-1162,316,132
2.040090,2872,12806,9897,-71,12,115,-1164,332,134
2.050091,2859,12790,9919,-75,22,116,-1168,342,135
2.060121,2891,12821,9920,-84,26,117,-1177,346,136
2.070092,2912,12836,9914,-91,26,115,-1184,346,134
2.080091,2958,12810,9910,-105,31,103,-1198,351,122
2.090086,2928,12825,9888,-111,33,97,-1204,353,116
2.100090,2887,12859,9886,-133,30,91,-1226,350,110
2.110090,2829,12849,9888,-146,25,86,-1239,345,105
2.120088,2820,12825,9886,-158,22,80,-1251,342,99
2.130090,2838,12793,9925,-186,20,69,-1279,340,88
2.140089,2855,12821,9936,-198,16,66,-1291,336,85
2.150090,2890,12834,9913,-223,8,67,-1316,328,86
2.160090,2915,12822,9887,-236,9,71,-1329,329,90
2.170090,2954,12787,9902,-248,20,74,-1341,340,93
2.180086,3015,12707,9999,-263,52,74,-1356,372,93
2.190091,3021,12657,10051,-266,66,74,-1359,386,93
2.200090,3026,12600,10122,-271,77,79,-1364,397,98
2.210090,3039,12595,10137,-271,79,82,-1364,399,101
2.220125,3032,12589,10157,-272,88,89,-1365,408,108
2.230090,2992,12575,10201,-272,86,94,-1365,406,113
2.240090,2987,12548,10251,-272,79,98,-1365,399,117
2.250091,2982,12479,10350,-270,52,102,-1363,372,121
2.260091,2964,12447,10375,-265,37,99,-1358,357,118
2.270091,2930,12376,10409,-253,20,88,-1346,340,107
2.280090,2902,12363,10414,-245,19,76,-1338,339,95
2.290090,2881,12353,10423,-228,17,46,-1321,337,65
2.300092,2889,12277,10451,-219,15,27,-1312,335,46
2.310087,2910,12269,10469,-210,11,7,-1303,331,26
2.320121,2920,12278,10498,-189,-6,-24,-1282,314,-5
2.330090,2896,12285,10499,-179,-17,-33,-1272,303,-14
2.340091,2833,12305,10483,-162,-35,-45,-1255,285,-26
2.350090,2814,12314,10477,-155,-37,-48,-1248,283,-29
2.360090,2820,12320,10469,-138,-23,-53,-1231,297,-34
2.370090,2821,12332,10471,-129,-13,-54,-1222,307,-35
2.380087,2816,12324,10485,-120,-6,-50,-1213,314,-31
2.390089,2802,12329,10528,-105,-6,-35,-1198,314,-16
2.400086,2798,12330,10516,-98,-9,-27,-1191,311,-8
2.410089,2803,12330,10503,-84,-9,-11,-1177,311,8
2.420087,2827,12344,10499,-80,-8,-5,-1173,312,14
2.430091,2825,12349,10507,-76,-5,0,-1169,315,19
2.440087,2815,12345,10497,-69,-3,10,-1162,317,29
2.450090,2805,12355,10486,-67,-5,15,-1160,315,34
2.460087,2824,12360,10466,-67,-14,27,-1160,306,46
2.470086,2847,12344,10474,-67,-18,29,-1160,302,48
2.480087,2872,12340,10465,-66,-23,30,-1159,297,49
2.490089,2904,12355,10472,-67,-27,30,-1160,293,49
2.500086,2921,12351,10464,-70,-32,26,-1163,288,45
2.510091,2923,12319,10473,-73,-39,26,-1166,281,45
2.520087,2925,12317,10497,-72,-32,27,-1165,288,46
2.530090,2815,12369,10528,-71,-34,39,-1164,286,58
2.540087,2772,12398,10494,-74,-52,46,-1167,268,65
2.550090,2786,12410,10437,-89,-69,50,-1182,251,69
2.560086,2793,12406,10401,-96,-65,49,-1189,255,68
2.570090,2828,12400,10404,-103,-56,46,-1196,264,65
2.580086,2879,12380,10427,-117,-30,38,-1210,290,57
2.590090,2902,12371,10434,-122,-20,39,-1215,300,58
2.600087,2901,12298,10524,-128,0,47,-1221,320,66
2.610091,2891,12237,10574,-127,7,45,-1220,327,64
2.620087,2886,12206,10618,-118,15,38,-1211,335,57
2.630087,2902,12187,10634,-112,17,32,-1205,337,51
2.640086,2911,12188,10637,-107,19,29,-1200,339,48
2.650088,2877,12199,10648,-100,15,25,-1193,335,44
2.660085,2862,12190,10643,-97,9,25,-1190,329,44
2.670089,2866,12179,10641,-89,8,19,-1182,328,38
2.680086,2859,12196,10615,-85,15,15,-1178,335,34
2.690089,2845,12204,10600,-83,21,13,-1176,341,32
2.700087,2894,12189,10604,-80,26,8,-1173,346,27
2.710089,2935,12157,10645,-75,32,5,-1168,352,24
2.720086,2950,12084,10746,-59,35,1,-1152,355,20
2.730089,2935,12078,10760,-49,29,-2,-1142,349,17
2.740104,2921,12083,10748,-31,13,-11,-1124,333,8
2.750087,2901,12090,10722,-22,13,-19,-1115,333,0
2.760086,2892,12091,10721,-13,15,-27,-1106,335,-8
2.770090,2857,12118,10774,5,11,-40,-1088,331,-21
2.780086,2835,12126,10773,13,0,-44,-1080,320,-25
2.790090,2825,12156,10688,27,-22,-55,-1066,298,-36
2.800086,2819,12179,10659,30,-26,-57,-1063,294,-38
2.810091,2799,12187,10653,34,-27,-56,-1059,293,-37
2.820086,2782,12189,10674,36,-31,-56,-1057,289,-37
2.830124,2771,12195,10670,38,-35,-56,-1055,285,-37
2.840087,2781,12245,10626,42,-46,-53,-1051,274,-34
